Feature,Importance
EPS,0.062350008775823064
ComprehensiveIncomeNetOfTax,0.04744294134333198
EPS_change,0.0453370811522495
ProfitLoss_change,0.037145876345735344
EPS_moving_average_change,0.03661802103454566
USA_business_confidence_lag1,0.027865306278136704
USA_business_confidence_change,0.026492312919354777
IncomeLossBeforeGainOrLossOnSaleOfPropertiesExtraordinaryItemsAndCumulativeEffectsOfAccountingChanges,0.025789182042269286
IncomeLossBeforeGainOrLossOnSaleOfPropertiesExtraordinaryItemsAndCumulativeEffectsOfAccountingChanges_change,0.021577442685544904
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0.021036997002330533
G20_business_confidence_lag1,0.019046857713666848
time_elapsed,0.018998677263012624
USA_business_confidence,0.017977570076517204
G20_business_confidence,0.01629185286199313
LiabilitiesOtherThanLongtermDebtNoncurrent_change,0.013664007776917413
Liabilities_change,0.013278281974182087
pre_covid,0.012958463661222103
ComprehensiveIncomeNetOfTax_change,0.01262197659716039
RestructuringSettlementAndImpairmentProvisions,0.011582451656180893
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest_change,0.010566180668445153
OperatingIncomeLoss_change,0.010149766137752876
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,0.010133005180956963
AssetImpairmentCharges,0.007912622157692473
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,0.007579090307535635
WeightedAverageNumberDilutedSharesOutstandingAdjustment_change,0.007355215762577035
CommonStockValue_change,0.007348678282225261
GoodwillAndIntangibleAssetImpairment_change,0.006562463670134831
EPS_moving_average_lag1,0.006285315227772633
CommonStockSharesIssued_change,0.006193249202125979
IncomeTaxExpenseBenefit,0.005940595579473362
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments_change,0.005786868126669368
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,0.005703432723781943
Assets_change,0.005662076835329109
OperatingExpenses_change,0.005516467482404649
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,0.005469365202246704
WeightedAverageNumberOfSharesOutstandingBasic_change,0.0052015656591984875
EPS_lag1,0.005036618560884727
CommonStockSharesOutstanding_change,0.00499993705754722
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities_change,0.004994038307787872
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,0.0048691553010779525
DeferredTaxAssetsValuationAllowance_change,0.004810274348400668
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities_change,0.004500001613894383
ProfitLoss_lag1,0.004334106441747893
IncreaseDecreaseInOperatingLiabilities,0.004307692498893762
AssetImpairmentCharges_change,0.004248920550345682
StockholdersEquityPeriodIncreaseDecrease,0.004125488862272743
EmployeeRelatedLiabilitiesCurrent_change,0.0041129627338782095
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements_change,0.003974493860011561
DeferredIncomeTaxExpenseBenefit,0.00391128745718815
EPS_moving_average,0.0038791114326649475
LiabilitiesCurrent_change,0.0036129136922884273
IncomeTaxExpenseBenefit_change,0.0036100061009509774
OperatingCostsAndExpenses_change,0.0035883698051592484
CurrentFederalStateAndLocalTaxExpenseBenefit,0.003566948659458095
WeightedAverageNumberDilutedSharesOutstandingAdjustment,0.0035430868951710276
RetainedEarningsAccumulatedDeficit_change,0.0035248171162238625
CommonStockSharesAuthorized_change,0.0034872233119672895
OperatingIncomeLoss_lag1,0.0034349526181714236
AdditionalPaidInCapital_change,0.003308709187880097
DeferredFederalIncomeTaxExpenseBenefit,0.0031914994865412617
