Feature,Importance
EPS_change,0.014858136
ComprehensiveIncomeNetOfTax,0.01448563
USA_business_confidence_lag1,0.010308351
pre_covid,0.008643574
EPS,0.008200602
G20_business_confidence,0.007458707
LiabilitiesOtherThanLongtermDebtNoncurrent_change,0.007080973
USA_business_confidence_change,0.0068347347
Liabilities_change,0.0067076194
EPS_moving_average_lag1,0.0062783128
CashCashEquivalentsAndShortTermInvestments_lag1,0.005787676
USA_business_confidence,0.0057556657
OperatingLeasesFutureMinimumPaymentsDueInTwoYears_lag1,0.0055369274
EPS_moving_average_change,0.005484369
CurrentFederalStateAndLocalTaxExpenseBenefit,0.0053148675
IncomeLossBeforeGainOrLossOnSaleOfPropertiesExtraordinaryItemsAndCumulativeEffectsOfAccountingChanges_change,0.005298054
time_elapsed,0.0052825557
G20_business_confidence_lag1,0.0052681677
EPS_lag1,0.0049365
IncreaseDecreaseInOperatingLiabilities,0.004832998
ProfitLoss_change,0.004650017
DeferredTaxAssetsValuationAllowance_lag1,0.004240746
CommonStockSharesAuthorized_lag1,0.0042154193
NetCashProvidedByUsedInOperatingActivities_lag1,0.0041150106
UnrecognizedTaxBenefitsReductionsResultingFromLapseOfApplicableStatuteOfLimitations_change,0.003972043
LiabilitiesCurrent_lag1,0.0038820417
RestructuringCostsAndAssetImpairmentCharges_lag1,0.003831066
IncomeLossBeforeGainOrLossOnSaleOfPropertiesExtraordinaryItemsAndCumulativeEffectsOfAccountingChanges,0.0038121992
WeightedAverageNumberOfDilutedSharesOutstanding,0.0037846921
EPS_moving_average,0.0035242701
CostOfRevenue,0.0035094575
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate_change,0.0034671219
InterestExpense_change,0.003420587
Assets,0.003296701
TreasuryStockShares_lag1,0.003275376
OperatingExpenses_change,0.0032340793
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,0.0032020865
SellingAndMarketingExpense,0.0031810494
Assets_change,0.003163103
IncreaseDecreaseInOperatingLiabilities_lag1,0.0031550857
LiabilitiesCurrent_change,0.0031210806
AssetImpairmentCharges_change,0.0031162507
ProceedsFromStockOptionsExercised_lag1,0.0030973677
AccountsPayableAndAccruedLiabilitiesCurrent,0.003096232
ReceivablesNetCurrent,0.003093533
OperatingLeasesFutureMinimumPaymentsDue_change,0.003072811
CommonStockSharesAuthorized,0.0030603185
CurrentFederalStateAndLocalTaxExpenseBenefit_lag1,0.0030567294
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities_change,0.003048287
EmployeeRelatedLiabilitiesCurrent_change,0.0030342399
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate_lag1,0.003023448
GrossProfit_lag1,0.002954233
EmployeeRelatedLiabilitiesCurrent,0.002906973
AssetsCurrent,0.0029056969
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest_change,0.0028973008
OtherLiabilitiesNoncurrent_lag1,0.002849018
StockholdersEquityPeriodIncreaseDecrease,0.0028323994
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,0.0028302511
WeightedAverageNumberDilutedSharesOutstandingAdjustment_change,0.00280672
Liabilities,0.002799891
LongTermDebtAndCapitalLeaseObligationsCurrent_change,0.002780529
