param_bootstrap,param_criterion,param_max_depth,param_max_features,param_min_impurity_decrease,param_min_samples_leaf,param_min_samples_split,param_n_estimators,mean_test_score,std_test_score,rank_test_score
True,entropy,5,sqrt,0.0062111973407262665,26,17,968,0.6776634729736394,0.01351847470270741,1
True,entropy,5,sqrt,0.007212799894990729,26,47,829,0.6764960470925353,0.012896587721274059,2
True,entropy,5,sqrt,0.0067721812687498405,46,41,934,0.6763051198002564,0.014182193650606485,3
True,entropy,5,sqrt,0.008624323906439043,11,10,803,0.6760065828576759,0.009727700660598592,4
True,entropy,4,sqrt,0.007793913689074525,23,12,1578,0.6757515576940728,0.00985167750941839,5
True,entropy,2,sqrt,0.007118259655196562,16,18,1197,0.6740607026562172,0.009611824533024331,6
True,entropy,5,sqrt,0.008798550883290537,39,20,739,0.673444310391635,0.012038535026546155,7
True,entropy,3,sqrt,0.009539773796234337,23,48,1344,0.6733763928760448,0.0085259183337168,8
True,entropy,2,sqrt,0.007154698647431895,31,37,1127,0.6731601573092293,0.010331977967666701,9
True,entropy,4,sqrt,0.010664734825734934,33,46,648,0.6717827879900279,0.009313398822481765,10
True,entropy,3,sqrt,0.010879954961448966,25,27,1428,0.6713594196419846,0.008330489413093249,11
True,entropy,2,sqrt,0.010272607415662015,26,11,1191,0.6705883556305315,0.008762378445828969,12
True,entropy,2,sqrt,0.01008198374076953,36,22,1259,0.6702398461147485,0.009286193118722046,13
True,entropy,2,sqrt,0.010258814621061985,27,11,1371,0.6698628236831602,0.008948338580752675,14
True,entropy,4,sqrt,0.012687491292803867,32,20,637,0.6697828986657078,0.00980981403303307,15
True,entropy,4,sqrt,0.011997914575728831,37,25,739,0.6693688617097755,0.010498556151475578,16
True,entropy,3,sqrt,0.013801020317667162,13,38,1252,0.6685120897405769,0.01167858410624971,17
True,entropy,3,sqrt,0.01186590911359861,49,13,1575,0.6680404637232945,0.011514168643820256,18
True,entropy,2,sqrt,0.012757488779543144,27,13,1150,0.6679927611750739,0.011762631909634018,19
True,entropy,5,sqrt,0.01444932326768309,18,35,1114,0.6679225247413069,0.012885429591909713,20
True,entropy,4,sqrt,0.013130553347731676,41,13,1034,0.6668466585732272,0.0121131384781865,21
True,entropy,5,sqrt,0.01401134129063163,46,42,1233,0.6662434063814258,0.013251352326069278,22
True,entropy,4,sqrt,0.015066260689167258,24,38,1609,0.6653277965745854,0.014296718721407736,23
True,entropy,2,sqrt,0.014801267484957723,34,38,564,0.6652658756822247,0.013865275149159499,24
True,entropy,2,sqrt,0.015016725176148132,33,12,1319,0.6648966712365318,0.015524747253209143,25
True,entropy,5,sqrt,0.01471029932154682,34,44,702,0.6646655291418662,0.014417290660083883,26
True,entropy,2,sqrt,0.015484587458903692,15,31,1301,0.6646136186419122,0.015547906111859076,27
True,entropy,5,sqrt,0.015563362070328197,36,44,1510,0.6642913758730565,0.015560005534010055,28
True,entropy,5,sqrt,0.014374401804106464,41,18,1672,0.6642272956310535,0.013299169177175203,29
True,entropy,3,sqrt,0.016263495397682355,16,17,584,0.6639934367385053,0.015048614504317423,30
True,entropy,2,sqrt,0.015262222644415747,31,34,1024,0.6638126975873185,0.016279033084972437,31
True,entropy,2,sqrt,0.015349471902413368,43,42,1621,0.6629072100096697,0.015637662404164965,32
True,entropy,3,sqrt,0.016909079937846315,24,17,1566,0.6627357739880043,0.0162485396728465,33
True,entropy,5,sqrt,0.015677591856141745,42,49,1100,0.6625986359788881,0.017274452127748422,34
True,entropy,2,sqrt,0.01508939962171517,48,37,684,0.6623127150029796,0.01586183763525617,35
True,entropy,3,sqrt,0.017777639420895205,12,46,1196,0.6622678307326559,0.016736573717832305,36
True,entropy,3,sqrt,0.018121805693466254,15,37,1601,0.6621308018511359,0.016389001874518642,37
True,entropy,5,sqrt,0.018529537433838568,15,25,1209,0.6618746472684837,0.017968306093913235,38
True,entropy,2,sqrt,0.01665994334528681,35,22,1413,0.6618711630708426,0.01714940411335366,39
True,entropy,4,sqrt,0.017948144802903493,24,17,1594,0.661815883271102,0.016349828967784828,40
True,entropy,4,sqrt,0.016210581773321502,35,41,796,0.6618157132202448,0.017046066431209005,41
True,entropy,5,sqrt,0.016163465427634235,28,35,696,0.6617435708312281,0.016780254291380452,42
True,entropy,4,sqrt,0.01688933518305359,12,29,701,0.6617076145240945,0.017513961181566732,43
True,entropy,3,sqrt,0.017626992350416718,43,19,1545,0.6609543707712914,0.016578612390020467,44
True,entropy,5,sqrt,0.018486639612006327,47,11,1505,0.6609344779323233,0.01717257362532832,45
True,entropy,3,sqrt,0.01856565158860992,20,37,1022,0.660896024346655,0.017976474024858167,46
True,entropy,3,sqrt,0.017698133187864357,33,20,653,0.6604014465933975,0.016662398333367467,47
True,entropy,3,sqrt,0.01987040427417844,39,44,812,0.6584041459569179,0.019458192845390052,48
True,entropy,3,sqrt,0.02057673124081441,21,48,1686,0.658247581629893,0.018898371204007024,49
True,entropy,5,sqrt,0.020143645558687785,41,41,1686,0.6580502813612655,0.018767115608284864,50
