Feature,Importance
EPS_change,0.02429938
ComprehensiveIncomeNetOfTax,0.01797645
USA_business_confidence_lag1,0.017254246
EPS_lag1,0.012788108
G20_business_confidence_lag1,0.012544158
pre_covid,0.012209481
EPS_moving_average_change,0.011350604
USA_business_confidence_change,0.011340457
EPS,0.011262124
Liabilities_change,0.009690602
USA_business_confidence,0.009038072
EPS_moving_average_lag1,0.008752207
ProfitLoss_change,0.008707252
IncreaseDecreaseInOperatingLiabilities,0.00825493
LiabilitiesOtherThanLongtermDebtNoncurrent_change,0.0078419
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0.0074352548
CurrentFederalStateAndLocalTaxExpenseBenefit,0.007292292
G20_business_confidence,0.007141678
DeferredTaxAssetsOperatingLossCarryforwards,0.0066667553
WeightedAverageNumberOfDilutedSharesOutstanding,0.006107017
DeferredTaxAssetsValuationAllowance_lag1,0.0059795403
CashCashEquivalentsAndShortTermInvestments_lag1,0.0057582553
ProfitLoss_lag1,0.005667686
CommonStockSharesAuthorized_lag1,0.0056316853
OtherLiabilitiesNoncurrent_lag1,0.005606919
NetCashProvidedByUsedInOperatingActivities_lag1,0.005416781
OperatingExpenses_change,0.005314205
EPS_moving_average,0.005287616
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest_change,0.0052632825
CurrentIncomeTaxExpenseBenefit_lag1,0.005185219
AssetImpairmentCharges_change,0.005176856
PaymentsForRepurchaseOfEquity_change,0.005146932
LiabilitiesCurrent_change,0.00509174
RetainedEarningsAccumulatedDeficit_change,0.005087713
IncomeLossBeforeGainOrLossOnSaleOfPropertiesExtraordinaryItemsAndCumulativeEffectsOfAccountingChanges_change,0.0049668937
GrossProfit_lag1,0.0049237977
Assets,0.0048609935
IncomeLossBeforeGainOrLossOnSaleOfPropertiesExtraordinaryItemsAndCumulativeEffectsOfAccountingChanges,0.0048560533
ProceedsFromRepurchaseOfEquity_lag1,0.004814616
IncreaseDecreaseInOperatingCapital,0.0047698277
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,0.004746927
AdditionalPaidInCapital_change,0.0047455505
UnrecognizedTaxBenefitsReductionsResultingFromLapseOfApplicableStatuteOfLimitations_change,0.004745517
IncomeTaxExpenseBenefit,0.0047217645
IncreaseDecreaseInOtherOperatingAssets_lag1,0.0046964586
EmployeeRelatedLiabilitiesCurrent_change,0.0046656965
EmployeeRelatedLiabilitiesCurrent,0.0046472275
OperatingLeasesFutureMinimumPaymentsDueCurrent_change,0.0046466654
RestructuringSettlementAndImpairmentProvisions_change,0.004535446
AdditionalPaidInCapital_lag1,0.0045184917
CashAndCashEquivalentsPeriodIncreaseDecrease_change,0.004518198
DeferredIncomeTaxLiabilities_change,0.0045028874
CommonStockSharesAuthorized,0.0044803866
DepreciationDepletionAndAmortization_change,0.004427103
SellingAndMarketingExpense,0.0044262432
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,0.0044028526
DeferredIncomeTaxExpenseBenefit,0.004392808
DeferredTaxAssetsGross_lag1,0.004392262
InvestmentIncomeNet_change,0.004366128
AccountsPayableAndAccruedLiabilitiesCurrent_lag1,0.004364809
SellingGeneralAndAdministrativeExpense_lag1,0.004271475
DepreciationAndAmortization_lag1,0.0042278348
DeferredTaxAssetsOperatingLossCarryforwards_lag1,0.004225854
CurrentFederalStateAndLocalTaxExpenseBenefit_lag1,0.0042049694
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,0.004191759
IncreaseDecreaseInOperatingLiabilities_lag1,0.0041843005
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,0.004182547
OtherComprehensiveIncomeLossNetOfTax,0.0041779056
RestructuringCostsAndAssetImpairmentCharges_change,0.004166933
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,0.004159634
AdditionalPaidInCapital,0.0041589933
PaymentsForProceedsFromBusinessesAndInterestInAffiliates_change,0.0041368394
NetCashProvidedByUsedInOperatingActivities,0.0040730117
IncreaseDecreaseInOperatingLiabilities_change,0.0040626302
InterestPaidNet_change,0.004057222
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities_change,0.0040488886
ComprehensiveIncomeNetOfTax_change,0.004018739
IncreaseDecreaseInAccountsReceivable_lag1,0.0040156166
StockholdersEquityPeriodIncreaseDecrease,0.00399233
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities_change,0.003976887
LiabilitiesOtherThanLongtermDebtNoncurrent,0.0039717616
TreasuryStockShares_change,0.003953651
Dividends_change,0.0039379015
GeneralAndAdministrativeExpense_change,0.003913722
WeightedAverageNumberDilutedSharesOutstandingAdjustment_lag1,0.0039029575
DeferredTaxAssetsValuationAllowance_change,0.0038794174
DeferredTaxAssetsValuationAllowance,0.0038769736
DeferredTaxAssetsGross,0.0038719382
AccountsPayableAndAccruedLiabilitiesCurrent_change,0.0038712516
CurrentIncomeTaxExpenseBenefit,0.0038324075
CommonStockValue_change,0.0038316983
AssetsNoncurrent_lag1,0.0038304322
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,0.0038194428
RetainedEarningsAccumulatedDeficit_lag1,0.0038033677
EmployeeBenefitsAndShareBasedCompensationNoncash,0.003787009
Goodwill,0.0037730376
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate_lag1,0.0037684136
AssetsCurrent,0.0037526786
InterestAndDebtExpense_change,0.0037432043
IncomeTaxExpenseBenefit_change,0.0037104934
RetainedEarningsAccumulatedDeficit,0.0036982365
StockIssuedDuringPeriodSharesStockOptionsExercised_lag1,0.0036901927
CostOfGoodsAndServicesSold,0.003674504
IncreaseDecreaseInAccountsAndNotesReceivable,0.0036605871
