Feature,Importance
IncomeLossBeforeGainOrLossOnSaleOfPropertiesExtraordinaryItemsAndCumulativeEffectsOfAccountingChanges,0.034424078
EPS_change,0.02006957
IncomeLossBeforeGainOrLossOnSaleOfPropertiesExtraordinaryItemsAndCumulativeEffectsOfAccountingChanges_change,0.013855506
USA_business_confidence_change,0.012347438
EPS_moving_average_change,0.011364518
ComprehensiveIncomeNetOfTax,0.010738214
Liabilities_change,0.010584171
USA_business_confidence_lag1,0.009001359
time_elapsed,0.008515377
EPS,0.0082297465
EPS_moving_average_lag1,0.0080115935
EPS_lag1,0.007846535
IncreaseDecreaseInOperatingLiabilities,0.0075663286
CurrentFederalStateAndLocalTaxExpenseBenefit,0.007557273
ProfitLoss_change,0.007538966
USA_business_confidence,0.007197052
IncomeTaxExpenseBenefit,0.0068665748
LiabilitiesOtherThanLongtermDebtNoncurrent_change,0.006800742
CurrentIncomeTaxExpenseBenefit,0.0066555436
OperatingLeasesFutureMinimumPaymentsDueCurrent_change,0.006499738
G20_business_confidence_lag1,0.006282017
CommonStockSharesAuthorized_lag1,0.006259915
DeferredTaxAssetsOperatingLossCarryforwards_lag1,0.0060933256
G20_business_confidence,0.005989999
EmployeeRelatedLiabilitiesCurrent_change,0.005811617
IncomeTaxExpenseBenefit_lag1,0.0056805564
OperatingExpenses_change,0.005562949
EPS_moving_average,0.0055051367
RetainedEarningsAccumulatedDeficit_lag1,0.0054928027
AssetImpairmentCharges,0.0054439628
ProfitLoss_lag1,0.0054311347
StockholdersEquityPeriodIncreaseDecrease,0.0054224622
LiabilitiesCurrent_change,0.005350471
WeightedAverageNumberDilutedSharesOutstandingAdjustment,0.0052562454
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest_change,0.005229536
NetCashProvidedByUsedInOperatingActivities_lag1,0.0051749446
InterestAndDebtExpense_change,0.005094857
InterestExpense_change,0.005053522
GainLossOnDispositionOfAssets1,0.005000217
DeferredTaxAssetsValuationAllowance_change,0.004792347
WeightedAverageNumberOfDilutedSharesOutstanding,0.0047864206
ProceedsFromRepurchaseOfEquity_lag1,0.004672661
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic_lag1,0.004665123
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities_change,0.004596535
Revenues,0.004567072
StockIssuedDuringPeriodSharesPeriodIncreaseDecrease_lag1,0.0045468276
RestructuringCostsAndAssetImpairmentCharges,0.0045257295
GeneralAndAdministrativeExpense_change,0.004511053
ReceivablesNetCurrent,0.00448573
NetCashProvidedByUsedInOperatingActivities,0.0044851587
PreferredStockSharesAuthorized_lag1,0.004443411
RestructuringSettlementAndImpairmentProvisions,0.0043848353
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,0.0043711117
AccountsPayableAndAccruedLiabilitiesCurrent_change,0.0043705627
Assets,0.004356373
AdditionalPaidInCapitalCommonStock_change,0.004350788
DepreciationDepletionAndAmortization_change,0.0043332563
CurrentIncomeTaxExpenseBenefit_lag1,0.004287303
CashAndCashEquivalentsPeriodIncreaseDecrease_change,0.0042797085
PrepaidExpenseAndOtherAssetsCurrent,0.0042743753
OperatingIncomeLoss_change,0.004240453
AssetsNoncurrent,0.0042369557
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax_change,0.0042317407
RetainedEarningsAccumulatedDeficit,0.0042209346
PreferredStockSharesAuthorized,0.0042181006
GrossProfit_lag1,0.0041890736
DeferredIncomeTaxLiabilities_lag1,0.0041725673
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,0.0041602845
PaymentsForRepurchaseOfEquity_change,0.0041316375
DeferredRevenueCurrent_lag1,0.0041110194
ProceedsFromIssuanceOrSaleOfEquity_lag1,0.004063857
ComprehensiveIncomeNetOfTax_change,0.0040359767
RestructuringSettlementAndImpairmentProvisions_change,0.004001877
RestructuringCostsAndAssetImpairmentCharges_change,0.003997034
PaymentsForRepurchaseOfEquity_lag1,0.0039907116
SellingAndMarketingExpense,0.003980644
SellingGeneralAndAdministrativeExpense,0.003950818
CostOfGoodsAndServicesSold,0.003939353
OtherComprehensiveIncomeLossNetOfTax,0.0039150813
CostOfGoodsAndServicesSold_change,0.0039098547
CommonStockValue_change,0.0039066277
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities_change,0.003906319
AccountsPayableCurrent,0.0038831097
RetainedEarningsAccumulatedDeficit_change,0.0038809893
ShareBasedCompensation_lag1,0.0038275013
AssetsNoncurrent_change,0.0038264699
DeferredIncomeTaxLiabilities,0.0038170672
EmployeeRelatedLiabilitiesCurrent,0.0038054038
PaymentsForRepurchaseOfCommonStock,0.0037803901
NetCashProvidedByUsedInInvestingActivities_change,0.003768484
UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions_change,0.003764633
DeferredTaxLiabilities_lag1,0.003756392
WeightedAverageNumberDilutedSharesOutstandingAdjustment_change,0.003754445
OperatingExpenses,0.0037515257
LiabilitiesNoncurrent_lag1,0.0037314526
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,0.0037264843
PaymentsToAcquirePropertyPlantAndEquipment_change,0.0037245555
AccountsPayableAndAccruedLiabilitiesCurrent,0.0037236975
ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlansIncludingStockOptions,0.003695841
ProceedsFromRepaymentsOfShortTermDebt,0.0036938768
ReceivablesNetCurrent_change,0.003677111
StockIssuedDuringPeriodSharesPeriodIncreaseDecrease_change,0.0036622349
WeightedAverageNumberOfSharesOutstandingBasic_change,0.0036569682
